type,name,price,original price,discount,id
洗衣機、電冰箱,樂金LG 186公升Smart 變頻上下門冰箱GN-L235SV,14900.0,14900.0,1.0,34
除濕、清淨機,除溼機↘限時限量搶,-1,-1,1,36
美容小家電,國際牌Panasonic奈米水離子吹風機 EH-NA27(二色任選),2190.0,2190.0,1.0,37
電玩、遊戲,MyCard 150點 虛擬點數150點,150.0,150.0,1.0,40
行動電源、電池,doocoo itablet 3A 15000+ 極致輕薄行動電源,1390.0,1390.0,1.0,48
ASUS華碩 手機,ASUS ZenFone 3 ZE552KL (4G/64G) 5.5吋八核心智慧手機,9990.0,9990.0,1.0,49
汽車用品,IWO台灣艾沃ES168-極致超薄救車行動電源 6000mAh (BSMI認證)-急速配,1790.0,1790.0,1.0,50
行車記錄器、導航,GARMIN Drive 51 玩樂達人5吋入門級衛星導航機,3990.0,3990.0,1.0,51
牛仔休閒服飾,Levis熱銷短T限時三件1590,990.0,990.0,1.0,56
OUWEY,OUWEY歐薇 藍天細條玩味貼布上衣(藍),1680.0,1680.0,1.0,59
睡衣,情趣睡衣 肚兜二件式睡襯衣 Lorraine,260.0,260.0,1.0,65
流行女鞋,☆Disney collection by grace gift☆愛麗絲Blossom系列,-1,-1,1,68
專櫃女鞋,NINE WEST--綁帶尖頭高跟鞋-經典黑,2785.0,2785.0,1.0,69
男包,ELECOM 超衝擊吸收手提公事包(16.4吋以下),1790.0,1790.0,1.0,74
名牌眼鏡,Chloe x Ferragamo 當季款9折再送品牌香水,-1,-1.0,1.0,79
名牌服飾、鞋子,MICHAEL KORS 秋冬經典款保暖圍巾↘$2280up,-1,-1.0,1.0,80
床墊,Carolan 孟宗竹 麻將涼蓆單/雙/加大 多款任選,890.0,890.0,1.0,105
Cozy inn,Cozy inn 千玉-300織精梳棉四件式兩用被床包組(雙人),4980.0,4980.0,1.0,108
衛浴設備,日本DUSKIN 除氯淨水器濾芯,280.0,280.0,1.0,109
開運、風水、琉璃,手環 墨攻 惡氣退散手環 含開光 臻觀璽世,468.0,468.0,1.0,111
PlayStation,尼爾：自動人形 - PS4亞洲中文版(拆封無鑑賞期),1690.0,1690.0,1.0,124
SAMPO聲寶,聲寶6-8坪右吹變頻窗型冷氣AW-PA41D+基本安裝,33800.0,33800.0,1.0,126
日本象印,[8H急速配]象印全自動製麵包機(BB-SSF10),9990.0,9990.0,1.0,129
Sony Mobile,SONY 立體聲藍牙耳機麥克風 SBH60,2880.0,2880.0,1.0,132
BLUE WAY,ETBOITE 箱子 BLUE WAY 條紋針織上衣,1980.0,1980.0,1.0,135
Levis,彩虹Logo Tee 經典款 Pride性別平權系列 - Levis,1290.0,1290.0,1.0,141
Ann’S,【 Go!Techs-長效性防水噴霧】極效防水噴霧 280ml三瓶組,1350.0,1350.0,1.0,173
grace gift,Disney collection by grace gift-2017SS怪獸大學【玩Q】系列,-1,-1.0,1.0,179
American Tourister,AT 美國旅行者 21吋 Elite-POP TSA 硬箱托運行李箱(紅黑色),2650.0,2650.0,1.0,196
PLAYBOY包包,PLAYBOY- Navy bunny 遠洋夢想兔系列 2WAY肩背包-海洋湛藍,4080.0,4080.0,1.0,199
PORTER,PORTER - 輕甜繽紛SPIRIT小型兩用復古手提包 - 黑,4450.0,4450.0,1.0,200
satana,satana - 抽繩水桶包 - 紫色,4600.0,4600.0,1.0,201
點睛品Emphasis,點睛品 Charme 文化祝福黃金串珠-大明咒開悟珠,6200.0,6200.0,1.0,203
JILL STUART,JILL STUART RELAX 純白花漾嫩唇凍 7g,480.0,480.0,1.0,212
L'OCCITANE歐舒丹,L’OCCITANE 歐舒丹 薰衣草護手霜 30ml,400.0,400.0,1.0,213
LRP 理膚寶水,理膚寶水 理必佳滋潤沐浴乳 400ml,980.0,980.0,1.0,215
LSY林三益刷具,LSY 林三益X 柳燕 V臉提拉刷,420.0,420.0,1.0,216
O．P．I,OPI AVOPLEX頂級酪梨油脂精華保濕乳液120ml(AV714),580.0,580.0,1.0,217
benefit,Benefit 蒲公英蜜粉盒7g,1200.0,1200.0,1.0,219
KOSE高絲,KOSE高絲 涵萃 潤肌精 玻尿酸即潤化妝水(一般型/溫和型),280.0,280.0,1.0,224
FUNBOX麗嬰國際,TOMICA多美動物園 - 多美動物火車 大象,600.0,600.0,1.0,238
Hilltop 山頂鳥,【hilltop山頂鳥】男款抗UV超撥水外套S02M78-淺灰/蔚藍,2786.0,2786.0,1.0,240
